raw_name,standard_name
BKK1,Boeung Keng Kang 1
BKK 1,Boeung Keng Kang 1
Boeung Keng Kang I,Boeung Keng Kang 1
Boeng Keng Kang 1,Boeung Keng Kang 1
BKK2,Boeung Keng Kang 2
BKK3,Boeung Keng Kang 3
Toul Kork,Toul Kork
Tuol Kouk,Toul Kork
Toul Kouk,Toul Kork
Daun Penh,Daun Penh
Doun Penh,Daun Penh
Chamkarmon,Chamkarmon
Chamkar Mon,Chamkarmon
Chamcar Mon,Chamkarmon
Sen Sok,Sen Sok
Sensok,Sen Sok
Russey Keo,Russey Keo
Ruessei Kaev,Russey Keo
Chroy Changvar,Chroy Changvar
Chrouy Changvar,Chroy Changvar
Meanchey,Meanchey
Mean Chey,Meanchey
Por Senchey,Pur Senchey
Pur Senchey,Pur Senchey
Dangkao,Dangkao
Dangkor,Dangkao
Prek Pnov,Prek Pnov
Chbar Ampov,Chbar Ampov
Kamboul,Kamboul
Tonle Bassac,Tonle Bassac
Boeung Trabek,Boeung Trabek
Toul Tom Poung,Toul Tom Poung
Tuol Tumpung,Toul Tom Poung
