project_name,district,project_geocode_query,latitude,longitude,display_name,osm_type,osm_id,geocode_status
Time Square II,Toul Kork,"Time Square II, Toul Kork, Phnom Penh, Cambodia",,,,,,not_found
Chip Mong | Park Land TK Condo,Sen Sok,"Chip Mong | Park Land TK Condo, Sen Sok, Phnom Penh, Cambodia",,,,,,not_found
Time Square 306,Boeung Keng Kang,"Time Square 306, Boeung Keng Kang, Phnom Penh, Cambodia",,,,,,not_found
One Park,Daun Penh,"One Park, Daun Penh, Phnom Penh, Cambodia",11.5761427,104.9057036,"One Park, សហគមន៍​បឹងកក់, សង្កាត់ផ្សារថ្មីទី ២, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ, 120210, ព្រះរាជាណាចក្រ​កម្ពុជា",way,347934352.0,found
TK Star International,Toul Kork,"TK Star International, Toul Kork, Phnom Penh, Cambodia",,,,,,not_found
Urban Village Phase 2,Meanchey,"Urban Village Phase 2, Meanchey, Phnom Penh, Cambodia",,,,,,not_found
The Garden Residency II,Sen Sok,"The Garden Residency II, Sen Sok, Phnom Penh, Cambodia",,,,,,not_found
Time Square 3,Toul Kork,"Time Square 3, Toul Kork, Phnom Penh, Cambodia",11.5835714,104.8971679,"Time Square 3, ផ្លូវ ៣១៧, សង្កាត់បឹងកក់ទី ១, ខណ្ឌទួលគោក, រាជធានីភ្នំពេញ, 120407, ព្រះរាជាណាចក្រ​កម្ពុជា",way,1296931685.0,found
Anata Residence,Meanchey,"Anata Residence, Meanchey, Phnom Penh, Cambodia",,,,,,not_found
Time Square 302,Boeung Keng Kang,"Time Square 302, Boeung Keng Kang, Phnom Penh, Cambodia",,,,,,not_found
Time Square 8,Chamkarmon,"Time Square 8, Chamkarmon, Phnom Penh, Cambodia",,,,,,not_found
J Tower 2 Condominium,Boeung Keng Kang,"J Tower 2 Condominium, Boeung Keng Kang, Phnom Penh, Cambodia",,,,,,not_found
North Park Condominium,Sen Sok,"North Park Condominium, Sen Sok, Phnom Penh, Cambodia",11.551292,104.872536,"ផ្លូវចេញ ណស៏ផាក ខុនដូមីនៀម, ភូមិស្លែងរលើង, សង្កាត់អូរបែកក្អម, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ, 120805, ព្រះរាជាណាចក្រ​កម្ពុជា",way,780392078.0,found
Yuetai Phnom Penh Harbour,Daun Penh,"Yuetai Phnom Penh Harbour, Daun Penh, Phnom Penh, Cambodia",11.5814751,104.9226259,"Yuetai Phnom Penh Harbour City, សហគមន៍​បឹងកក់, សង្កាត់ស្រះចក, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ, 120210, ព្រះរាជាណាចក្រ​កម្ពុជា",way,1249005951.0,found
Vue Aston,Chbar Ampov,"Vue Aston, Chbar Ampov, Phnom Penh, Cambodia",,,,,,not_found
PS Crystal Condominium,Meanchey,"PS Crystal Condominium, Meanchey, Phnom Penh, Cambodia",,,,,,not_found
Agile Sky Residence,Boeung Keng Kang,"Agile Sky Residence, Boeung Keng Kang, Phnom Penh, Cambodia",,,,,,not_found
Residence L Boeung Tompun,Meanchey,"Residence L Boeung Tompun, Meanchey, Phnom Penh, Cambodia",,,,,,not_found
Arakawa Residence,Sen Sok,"Arakawa Residence, Sen Sok, Phnom Penh, Cambodia",11.5597084,104.880765,"លំនៅឋានអារ៉ាខាវ៉ា, ភូមិផ្សារទឹកថ្លា, សង្កាត់ទឹកថ្លា, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ, 120802, ព្រះរាជាណាចក្រ​កម្ពុជា",way,973107611.0,found
Morgan EnMaison | Condo Type,Chroy Changvar,"Morgan EnMaison | Condo Type, Chroy Changvar, Phnom Penh, Cambodia",,,,,,not_found
M Residence,Boeung Keng Kang,"M Residence, Boeung Keng Kang, Phnom Penh, Cambodia",,,,,,not_found
The Penthouse Residence,Chamkarmon,"The Penthouse Residence, Chamkarmon, Phnom Penh, Cambodia",,,,,,not_found
L Residence Boeung Trabek II,Chamkarmon,"L Residence Boeung Trabek II, Chamkarmon, Phnom Penh, Cambodia",,,,,,not_found
L Residence Borei Keila,Prampi Makara,"L Residence Borei Keila, Prampi Makara, Phnom Penh, Cambodia",,,,,,not_found
Urban Village Phase 1,Meanchey,"Urban Village Phase 1, Meanchey, Phnom Penh, Cambodia",,,,,,not_found
J Tower 3 Condominium,Chamkarmon,"J Tower 3 Condominium, Chamkarmon, Phnom Penh, Cambodia",,,,,,not_found
Orkide The Royal Condominium,Sen Sok,"Orkide The Royal Condominium, Sen Sok, Phnom Penh, Cambodia",,,,,,not_found
R&F CITY,Meanchey,"R&F CITY, Meanchey, Phnom Penh, Cambodia",,,,,,not_found
Eastland Hotel and Apartment,Daun Penh,"Eastland Hotel and Apartment, Daun Penh, Phnom Penh, Cambodia",,,,,,not_found
Embassy Central,Boeung Keng Kang,"Embassy Central, Boeung Keng Kang, Phnom Penh, Cambodia",,,,,,not_found
Gold Class Sen Sok Serviced Residence,Sen Sok,"Gold Class Sen Sok Serviced Residence, Sen Sok, Phnom Penh, Cambodia",,,,,,not_found
Residence H Sen Sok,Sen Sok,"Residence H Sen Sok, Sen Sok, Phnom Penh, Cambodia",11.5597084,104.880765,"លំនៅឋានអារ៉ាខាវ៉ា, ភូមិផ្សារទឹកថ្លា, សង្កាត់ទឹកថ្លា, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ, 120802, ព្រះរាជាណាចក្រ​កម្ពុជា",way,973107611.0,found
Parc 21 Residence,Chamkarmon,"Parc 21 Residence, Chamkarmon, Phnom Penh, Cambodia",,,,,,not_found
Golden One Residence,Boeung Keng Kang,"Golden One Residence, Boeung Keng Kang, Phnom Penh, Cambodia",,,,,,not_found
Vista Condominium,Russey Keo,"Vista Condominium, Russey Keo, Phnom Penh, Cambodia",,,,,,not_found
Olympia City,Prampi Makara,"Olympia City, Prampi Makara, Phnom Penh, Cambodia",11.5607383,104.9132449,"Olympia City, សង្កាត់អូរឬស្សីទី ២, ប្រាំពីរមករា, រាជធានីភ្នំពេញ, 120302, ព្រះរាជាណាចក្រ​កម្ពុជា",node,5790201474.0,found
Embassy Residences - Phnom Penh's Landmark Condominium,Chamkarmon,"Embassy Residences - Phnom Penh's Landmark Condominium, Chamkarmon, Phnom Penh, Cambodia",,,,,,not_found
The Garden Residency,Sen Sok,"The Garden Residency, Sen Sok, Phnom Penh, Cambodia",11.5744453,104.8813754,"The Garden Residency, ភូមិភ្នំពេញថ្មី, សង្កាត់ភ្នំពេញថ្មី, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ, 120801, ព្រះរាជាណាចក្រ​កម្ពុជា",way,393242909.0,found
Morgan Central City,Russey Keo,"Morgan Central City, Russey Keo, Phnom Penh, Cambodia",,,,,,not_found
Royal Park Condo,Toul Kork,"Royal Park Condo, Toul Kork, Phnom Penh, Cambodia",,,,,,not_found
Romduol City,Sen Sok,"Romduol City, Sen Sok, Phnom Penh, Cambodia",,,,,,not_found
The Pinnacle Residence,Chamkarmon,"The Pinnacle Residence, Chamkarmon, Phnom Penh, Cambodia",,,,,,not_found
The Bridge,Chamkarmon,"The Bridge, Chamkarmon, Phnom Penh, Cambodia",,,,,,not_found
Wealth Mansion,Chroy Changvar,"Wealth Mansion, Chroy Changvar, Phnom Penh, Cambodia",11.585354,104.9275415,"Wealth Mansion, ផ្លូវ ទន្លេសាប, សង្កាត់ជ្រោយចង្វា, ខណ្ឌជ្រោយចង្វារ, រាជធានីភ្នំពេញ, 121001, ព្រះរាជាណាចក្រ​កម្ពុជា",way,1153872134.0,found
De Castle Royal Condominium,Boeung Keng Kang,"De Castle Royal Condominium, Boeung Keng Kang, Phnom Penh, Cambodia",,,,,,not_found
The Bliss Residence,Chroy Changvar,"The Bliss Residence, Chroy Changvar, Phnom Penh, Cambodia",,,,,,not_found
L Residence Boeung Keng Kang III,Boeung Keng Kang,"L Residence Boeung Keng Kang III, Boeung Keng Kang, Phnom Penh, Cambodia",,,,,,not_found
La Vista One,Chroy Changvar,"La Vista One, Chroy Changvar, Phnom Penh, Cambodia",11.5812974,104.93806,"La Vista One, ផ្លូវ ទន្លេមេគង្គ, ចុងកោះមានជ័យបារមីតេជោ, សង្កាត់ជ្រោយចង្វា, ខណ្ឌជ្រោយចង្វារ, រាជធានីភ្នំពេញ, 121001, ព្រះរាជាណាចក្រ​កម្ពុជា",way,613313344.0,found
Mekong View Tower 1,Chroy Changvar,"Mekong View Tower 1, Chroy Changvar, Phnom Penh, Cambodia",11.5820937,104.9365088,"Mekong View Tower 1, វិថី វត្តចាស់, សង្កាត់ជ្រោយចង្វា, ខណ្ឌជ្រោយចង្វារ, រាជធានីភ្នំពេញ, 121001, ព្រះរាជាណាចក្រ​កម្ពុជា",way,237502736.0,found
City View Residence,Daun Penh,"City View Residence, Daun Penh, Phnom Penh, Cambodia",,,,,,not_found
CASA by Meridian,Chamkarmon,"CASA by Meridian, Chamkarmon, Phnom Penh, Cambodia",,,,,,not_found
HCN Residence,Toul Kork,"HCN Residence, Toul Kork, Phnom Penh, Cambodia",,,,,,not_found
The Peak Residences,Chamkarmon,"The Peak Residences, Chamkarmon, Phnom Penh, Cambodia",,,,,,not_found
The Skyline,Prampi Makara,"The Skyline, Prampi Makara, Phnom Penh, Cambodia",11.5673247,104.9152012,"The Skyline, ផ្លូវ ១៣៧, សង្កាត់អូរឬស្សីទី ៣, ប្រាំពីរមករា, រាជធានីភ្នំពេញ, 120303, ព្រះរាជាណាចក្រ​កម្ពុជា",way,374509750.0,found
Toul Kork Lane,Toul Kork,"Toul Kork Lane, Toul Kork, Phnom Penh, Cambodia",,,,,,not_found
BK Residence,Prampi Makara,"BK Residence, Prampi Makara, Phnom Penh, Cambodia",,,,,,not_found
The Peninsula Private Residences,Chroy Changvar,"The Peninsula Private Residences, Chroy Changvar, Phnom Penh, Cambodia",,,,,,not_found
Borey Peng Huoth: The Star Platinum Polaris I,Chbar Ampov,"Borey Peng Huoth: The Star Platinum Polaris I, Chbar Ampov, Phnom Penh, Cambodia",,,,,,not_found
Time Square 7,Toul Kork,"Time Square 7, Toul Kork, Phnom Penh, Cambodia",,,,,,not_found
Precious Ruby Apartment,Boeung Keng Kang,"Precious Ruby Apartment, Boeung Keng Kang, Phnom Penh, Cambodia",,,,,,not_found
The View Serviced Residence,Boeung Keng Kang,"The View Serviced Residence, Boeung Keng Kang, Phnom Penh, Cambodia",,,,,,not_found
Mekong View Tower 6,Chroy Changvar,"Mekong View Tower 6, Chroy Changvar, Phnom Penh, Cambodia",11.5842363,104.9371254,"Mekong View Tower 6, វិថី ជ្រោយចង្វារ (៩), សង្កាត់ជ្រោយចង្វា, ខណ្ឌជ្រោយចង្វារ, រាជធានីភ្នំពេញ, 121001, ព្រះរាជាណាចក្រ​កម្ពុជា",way,1054316108.0,found
KMH Residence,Daun Penh,"KMH Residence, Daun Penh, Phnom Penh, Cambodia",,,,,,not_found
Kingston Royale,Chamkarmon,"Kingston Royale, Chamkarmon, Phnom Penh, Cambodia",,,,,,not_found
Mekong View Tower III,Chroy Changvar,"Mekong View Tower III, Chroy Changvar, Phnom Penh, Cambodia",,,,,,not_found
Snowbell Hotel@The Bridge SOHO,Chamkarmon,"Snowbell Hotel@The Bridge SOHO, Chamkarmon, Phnom Penh, Cambodia",,,,,,not_found
Mekong View Tower 2,Chroy Changvar,"Mekong View Tower 2, Chroy Changvar, Phnom Penh, Cambodia",11.5915142,104.9342901,"Mekong View Tower 2, ផ្លូវ ទន្លេមេគង្គ, សង្កាត់ជ្រោយចង្វា, ខណ្ឌជ្រោយចង្វារ, រាជធានីភ្នំពេញ, 121001, ព្រះរាជាណាចក្រ​កម្ពុជា",relation,18677855.0,found
Diamond Twin Tower,Chamkarmon,"Diamond Twin Tower, Chamkarmon, Phnom Penh, Cambodia",,,,,,not_found
Habitat Condominium,Chamkarmon,"Habitat Condominium, Chamkarmon, Phnom Penh, Cambodia",,,,,,not_found
J Tower Condo,Boeung Keng Kang,"J Tower Condo, Boeung Keng Kang, Phnom Penh, Cambodia",,,,,,not_found
Grand Condo 7,Chroy Changvar,"Grand Condo 7, Chroy Changvar, Phnom Penh, Cambodia",,,,,,not_found
Sen Sok Town,Sen Sok,"Sen Sok Town, Sen Sok, Phnom Penh, Cambodia",,,,,,not_found
Star City,Sen Sok,"Star City, Sen Sok, Phnom Penh, Cambodia",11.5620602,104.8686555,"Star City, ភូមិចុងថ្នល់ខាងលិច, សង្កាត់ទឹកថ្លា, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ, 120802, ព្រះរាជាណាចក្រ​កម្ពុជា",way,883643126.0,found
Camko City,Russey Keo,"Camko City, Russey Keo, Phnom Penh, Cambodia",11.594865,104.897716,"Camko City R2, ភូមិទួលថ្ងាន់, សង្កាត់ទួលសង្កែទី២, ខណ្ឌឫស្សីកែវ, រាជធានីភ្នំពេញ, 120707, ព្រះរាជាណាចក្រ​កម្ពុជា",way,975133544.0,found
TV Tower Condominium,Russey Keo,"TV Tower Condominium, Russey Keo, Phnom Penh, Cambodia",,,,,,not_found
