project_name,district,retry_query,latitude,longitude,display_name,osm_type,osm_id,geocode_status
Time Square II,Toul Kork,"Time Square II, Phnom Penh, Cambodia",,,,,,not_found
Chip Mong | Park Land TK Condo,Sen Sok,"Chip Mong | Park Land TK Condo, Phnom Penh, Cambodia",,,,,,not_found
Time Square 306,Boeung Keng Kang,"Time Square 306, Phnom Penh, Cambodia",11.5553118,104.9239489,"Time Square Hotel & Apartment, No 9. E1, ផ្លូវ ២៧៨, សង្កាត់បឹងកេងកងទី ២, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ, 120103, ព្រះរាជាណាចក្រ​កម្ពុជា",node,5458065021.0,found
TK Star International,Toul Kork,"TK Star International, Phnom Penh, Cambodia",,,,,,not_found
Urban Village Phase 2,Meanchey,"Urban Village Phase 2, Phnom Penh, Cambodia",,,,,,not_found
The Garden Residency II,Sen Sok,"The Garden Residency II, Phnom Penh, Cambodia",,,,,,not_found
Anata Residence,Meanchey,"Anata Residence, Phnom Penh, Cambodia",,,,,,not_found
Time Square 302,Boeung Keng Kang,"Time Square 302, Phnom Penh, Cambodia",11.5553118,104.9239489,"Time Square Hotel & Apartment, No 9. E1, ផ្លូវ ២៧៨, សង្កាត់បឹងកេងកងទី ២, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ, 120103, ព្រះរាជាណាចក្រ​កម្ពុជា",node,5458065021.0,found
Time Square 8,Chamkarmon,"Time Square 8, Phnom Penh, Cambodia",,,,,,not_found
J Tower 2 Condominium,Boeung Keng Kang,"J Tower 2 Condominium, Phnom Penh, Cambodia",,,,,,not_found
Vue Aston,Chbar Ampov,"Vue Aston, Phnom Penh, Cambodia",11.5462877,104.9465278,"Vue Aston, Tonle Bassac Promenade, កោះពេជ្រ, សង្កាត់ទន្លេបាសាក់, ខណ្ឌចំការមន, រាជធានីភ្នំពេញ, 120101, ព្រះរាជាណាចក្រ​កម្ពុជា",way,1069116369.0,found
PS Crystal Condominium,Meanchey,"PS Crystal Condominium, Phnom Penh, Cambodia",,,,,,not_found
Agile Sky Residence,Boeung Keng Kang,"Agile Sky Residence, Phnom Penh, Cambodia",11.5499421,104.9208927,"Agile Sky Residence, ផ្លូវ ៩៥, សង្កាត់បឹងកេងកងទី ២, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ, 120103, ព្រះរាជាណាចក្រ​កម្ពុជា",way,1297340830.0,found
Residence L Boeung Tompun,Meanchey,"Residence L Boeung Tompun, Phnom Penh, Cambodia",,,,,,not_found
Morgan EnMaison | Condo Type,Chroy Changvar,"Morgan EnMaison | Condo Type, Phnom Penh, Cambodia",,,,,,not_found
M Residence,Boeung Keng Kang,"M Residence, Phnom Penh, Cambodia",11.5545951,104.9254388,"M Residence, ផ្លូវ ២៨២, សង្កាត់បឹងកេងកងទី ២, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ, 120103, ព្រះរាជាណាចក្រ​កម្ពុជា",way,1263654817.0,found
The Penthouse Residence,Chamkarmon,"The Penthouse Residence, Phnom Penh, Cambodia",,,,,,not_found
L Residence Boeung Trabek II,Chamkarmon,"L Residence Boeung Trabek II, Phnom Penh, Cambodia",,,,,,not_found
L Residence Borei Keila,Prampi Makara,"L Residence Borei Keila, Phnom Penh, Cambodia",,,,,,not_found
Urban Village Phase 1,Meanchey,"Urban Village Phase 1, Phnom Penh, Cambodia",11.5219065,104.9286078,"Urban Village Phase 1, មហាវិថី សម្តេច ហ៊ុន សែន, បឹងទំពុន, សង្កាត់ចាក់អង្រែលើ, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ, 120601, ព្រះរាជាណាចក្រ​កម្ពុជា",way,705922393.0,found
J Tower 3 Condominium,Chamkarmon,"J Tower 3 Condominium, Phnom Penh, Cambodia",,,,,,not_found
Orkide The Royal Condominium,Sen Sok,"Orkide The Royal Condominium, Phnom Penh, Cambodia",,,,,,not_found
R&F CITY,Meanchey,"R&F CITY, Phnom Penh, Cambodia",11.526807,104.9282862,"R&F City, Morodok Techo Flyover, បឹងទំពុន, សង្កាត់ចាក់អង្រែលើ, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ, 120601, ព្រះរាជាណាចក្រ​កម្ពុជា",way,841548981.0,found
Eastland Hotel and Apartment,Daun Penh,"Eastland Hotel and Apartment, Phnom Penh, Cambodia",,,,,,not_found
Embassy Central,Boeung Keng Kang,"Embassy Central, Phnom Penh, Cambodia",11.5488947,104.9233865,"Embassy Central, ផ្លូវ ៣៥២, សង្កាត់បឹងកេងកងទី ១, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ, 120102, ព្រះរាជាណាចក្រ​កម្ពុជា",way,1085005344.0,found
Gold Class Sen Sok Serviced Residence,Sen Sok,"Gold Class Sen Sok Serviced Residence, Phnom Penh, Cambodia",,,,,,not_found
Parc 21 Residence,Chamkarmon,"Parc 21 Residence, Phnom Penh, Cambodia",11.5410187,104.920394,"Parc 21 Residence, ផ្លូវ ៤៤០, សង្កាត់បឹងត្របែក, ខណ្ឌចំការមន, រាជធានីភ្នំពេញ, 120112, ព្រះរាជាណាចក្រ​កម្ពុជា",way,1296352514.0,found
Golden One Residence,Boeung Keng Kang,"Golden One Residence, Phnom Penh, Cambodia",,,,,,not_found
Vista Condominium,Russey Keo,"Vista Condominium, Phnom Penh, Cambodia",,,,,,not_found
Embassy Residences - Phnom Penh's Landmark Condominium,Chamkarmon,"Embassy Residences - Phnom Penh's Landmark Condominium, Phnom Penh, Cambodia",,,,,,not_found
Morgan Central City,Russey Keo,"Morgan Central City, Phnom Penh, Cambodia",,,,,,not_found
Royal Park Condo,Toul Kork,"Royal Park Condo, Phnom Penh, Cambodia",,,,,,not_found
Romduol City,Sen Sok,"Romduol City, Phnom Penh, Cambodia",,,,,,not_found
The Pinnacle Residence,Chamkarmon,"The Pinnacle Residence, Phnom Penh, Cambodia",11.5317534,104.9260946,"The Pinnacle Residence, សង្កាត់បឹងត្របែក, សង្កាត់ផ្សារដើមថ្កូវ, ខណ្ឌចំការមន, រាជធានីភ្នំពេញ, 120112, ព្រះរាជាណាចក្រ​កម្ពុជា",way,1344740211.0,found
The Bridge,Chamkarmon,"The Bridge, Phnom Penh, Cambodia",11.5519583,104.9363703,"The Bridge, ផ្លូវ ៧៨, កោះពេជ្រ, សង្កាត់ទន្លេបាសាក់, ខណ្ឌចំការមន, រាជធានីភ្នំពេញ, 120101, ព្រះរាជាណាចក្រ​កម្ពុជា",way,238750143.0,found
De Castle Royal Condominium,Boeung Keng Kang,"De Castle Royal Condominium, Phnom Penh, Cambodia",,,,,,not_found
The Bliss Residence,Chroy Changvar,"The Bliss Residence, Phnom Penh, Cambodia",,,,,,not_found
L Residence Boeung Keng Kang III,Boeung Keng Kang,"L Residence Boeung Keng Kang III, Phnom Penh, Cambodia",,,,,,not_found
City View Residence,Daun Penh,"City View Residence, Phnom Penh, Cambodia",,,,,,not_found
CASA by Meridian,Chamkarmon,"CASA by Meridian, Phnom Penh, Cambodia",,,,,,not_found
HCN Residence,Toul Kork,"HCN Residence, Phnom Penh, Cambodia",,,,,,not_found
The Peak Residences,Chamkarmon,"The Peak Residences, Phnom Penh, Cambodia",11.5535733,104.9382591,"The PeAk Residences Tower 2, 14, Samdech Hun Sen Street, Golden Street, កោះពេជ្រ, សង្កាត់ទន្លេបាសាក់, ខណ្ឌចំការមន, រាជធានីភ្នំពេញ, 120101, ព្រះរាជាណាចក្រ​កម្ពុជា",way,637925506.0,found
Toul Kork Lane,Toul Kork,"Toul Kork Lane, Phnom Penh, Cambodia",,,,,,not_found
BK Residence,Prampi Makara,"BK Residence, Phnom Penh, Cambodia",11.5332466,104.9714085,"Tamarind Residence, ភូមិស្វាយតាអុក, សង្កាត់វាលស្បូវ, ខណ្ឌច្បារអំពៅ, រាជធានីភ្នំពេញ, 121205, ព្រះរាជាណាចក្រ​កម្ពុជា",way,1207536582.0,found
The Peninsula Private Residences,Chroy Changvar,"The Peninsula Private Residences, Phnom Penh, Cambodia",,,,,,not_found
Borey Peng Huoth: The Star Platinum Polaris I,Chbar Ampov,"Borey Peng Huoth: The Star Platinum Polaris I, Phnom Penh, Cambodia",,,,,,not_found
Time Square 7,Toul Kork,"Time Square 7, Phnom Penh, Cambodia",,,,,,not_found
Precious Ruby Apartment,Boeung Keng Kang,"Precious Ruby Apartment, Phnom Penh, Cambodia",,,,,,not_found
The View Serviced Residence,Boeung Keng Kang,"The View Serviced Residence, Phnom Penh, Cambodia",11.5476075,104.9250037,"The View Serviced Residence, ផ្លូវ ៣៧០, សង្កាត់បឹងកេងកងទី ១, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ, 120102, ព្រះរាជាណាចក្រ​កម្ពុជា",way,346554605.0,found
KMH Residence,Daun Penh,"KMH Residence, Phnom Penh, Cambodia",,,,,,not_found
Kingston Royale,Chamkarmon,"Kingston Royale, Phnom Penh, Cambodia",,,,,,not_found
Mekong View Tower III,Chroy Changvar,"Mekong View Tower III, Phnom Penh, Cambodia",,,,,,not_found
Snowbell Hotel@The Bridge SOHO,Chamkarmon,"Snowbell Hotel@The Bridge SOHO, Phnom Penh, Cambodia",,,,,,not_found
Diamond Twin Tower,Chamkarmon,"Diamond Twin Tower, Phnom Penh, Cambodia",11.551992,104.9398739,"Diamond Twin Tower, វិថី សុភមង្គល, កោះពេជ្រ, សង្កាត់ទន្លេបាសាក់, ខណ្ឌចំការមន, រាជធានីភ្នំពេញ, 120101, ព្រះរាជាណាចក្រ​កម្ពុជា",relation,9328772.0,found
Habitat Condominium,Chamkarmon,"Habitat Condominium, Phnom Penh, Cambodia",,,,,,not_found
J Tower Condo,Boeung Keng Kang,"J Tower Condo, Phnom Penh, Cambodia",,,,,,not_found
Grand Condo 7,Chroy Changvar,"Grand Condo 7, Phnom Penh, Cambodia",,,,,,not_found
Sen Sok Town,Sen Sok,"Sen Sok Town, Phnom Penh, Cambodia",,,,,,not_found
TV Tower Condominium,Russey Keo,"TV Tower Condominium, Phnom Penh, Cambodia",,,,,,not_found
