project_name,district,latitude,longitude,display_name,geocode_method
One Park,Daun Penh,11.5761427,104.9057036,"One Park, សហគមន៍​បឹងកក់, សង្កាត់ផ្សារថ្មីទី ២, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ, 120210, ព្រះរាជាណាចក្រ​កម្ពុជា",first_pass
Time Square 3,Toul Kork,11.5835714,104.8971679,"Time Square 3, ផ្លូវ ៣១៧, សង្កាត់បឹងកក់ទី ១, ខណ្ឌទួលគោក, រាជធានីភ្នំពេញ, 120407, ព្រះរាជាណាចក្រ​កម្ពុជា",first_pass
North Park Condominium,Sen Sok,11.551292,104.872536,"ផ្លូវចេញ ណស៏ផាក ខុនដូមីនៀម, ភូមិស្លែងរលើង, សង្កាត់អូរបែកក្អម, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ, 120805, ព្រះរាជាណាចក្រ​កម្ពុជា",first_pass
Yuetai Phnom Penh Harbour,Daun Penh,11.5814751,104.9226259,"Yuetai Phnom Penh Harbour City, សហគមន៍​បឹងកក់, សង្កាត់ស្រះចក, ខណ្ឌដូនពេញ, រាជធានីភ្នំពេញ, 120210, ព្រះរាជាណាចក្រ​កម្ពុជា",first_pass
Arakawa Residence,Sen Sok,11.5597084,104.880765,"លំនៅឋានអារ៉ាខាវ៉ា, ភូមិផ្សារទឹកថ្លា, សង្កាត់ទឹកថ្លា, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ, 120802, ព្រះរាជាណាចក្រ​កម្ពុជា",first_pass
Olympia City,Prampi Makara,11.5607383,104.9132449,"Olympia City, សង្កាត់អូរឬស្សីទី ២, ប្រាំពីរមករា, រាជធានីភ្នំពេញ, 120302, ព្រះរាជាណាចក្រ​កម្ពុជា",first_pass
The Garden Residency,Sen Sok,11.5744453,104.8813754,"The Garden Residency, ភូមិភ្នំពេញថ្មី, សង្កាត់ភ្នំពេញថ្មី, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ, 120801, ព្រះរាជាណាចក្រ​កម្ពុជា",first_pass
Wealth Mansion,Chroy Changvar,11.585354,104.9275415,"Wealth Mansion, ផ្លូវ ទន្លេសាប, សង្កាត់ជ្រោយចង្វា, ខណ្ឌជ្រោយចង្វារ, រាជធានីភ្នំពេញ, 121001, ព្រះរាជាណាចក្រ​កម្ពុជា",first_pass
La Vista One,Chroy Changvar,11.5812974,104.93806,"La Vista One, ផ្លូវ ទន្លេមេគង្គ, ចុងកោះមានជ័យបារមីតេជោ, សង្កាត់ជ្រោយចង្វា, ខណ្ឌជ្រោយចង្វារ, រាជធានីភ្នំពេញ, 121001, ព្រះរាជាណាចក្រ​កម្ពុជា",first_pass
Mekong View Tower 1,Chroy Changvar,11.5820937,104.9365088,"Mekong View Tower 1, វិថី វត្តចាស់, សង្កាត់ជ្រោយចង្វា, ខណ្ឌជ្រោយចង្វារ, រាជធានីភ្នំពេញ, 121001, ព្រះរាជាណាចក្រ​កម្ពុជា",first_pass
The Skyline,Prampi Makara,11.5673247,104.9152012,"The Skyline, ផ្លូវ ១៣៧, សង្កាត់អូរឬស្សីទី ៣, ប្រាំពីរមករា, រាជធានីភ្នំពេញ, 120303, ព្រះរាជាណាចក្រ​កម្ពុជា",first_pass
Mekong View Tower 6,Chroy Changvar,11.5842363,104.9371254,"Mekong View Tower 6, វិថី ជ្រោយចង្វារ (៩), សង្កាត់ជ្រោយចង្វា, ខណ្ឌជ្រោយចង្វារ, រាជធានីភ្នំពេញ, 121001, ព្រះរាជាណាចក្រ​កម្ពុជា",first_pass
Mekong View Tower 2,Chroy Changvar,11.5915142,104.9342901,"Mekong View Tower 2, ផ្លូវ ទន្លេមេគង្គ, សង្កាត់ជ្រោយចង្វា, ខណ្ឌជ្រោយចង្វារ, រាជធានីភ្នំពេញ, 121001, ព្រះរាជាណាចក្រ​កម្ពុជា",first_pass
Star City,Sen Sok,11.5620602,104.8686555,"Star City, ភូមិចុងថ្នល់ខាងលិច, សង្កាត់ទឹកថ្លា, ខណ្ឌសែនសុខ, រាជធានីភ្នំពេញ, 120802, ព្រះរាជាណាចក្រ​កម្ពុជា",first_pass
Camko City,Russey Keo,11.594865,104.897716,"Camko City R2, ភូមិទួលថ្ងាន់, សង្កាត់ទួលសង្កែទី២, ខណ្ឌឫស្សីកែវ, រាជធានីភ្នំពេញ, 120707, ព្រះរាជាណាចក្រ​កម្ពុជា",first_pass
Vue Aston,Chbar Ampov,11.5462877,104.9465278,"Vue Aston, Tonle Bassac Promenade, កោះពេជ្រ, សង្កាត់ទន្លេបាសាក់, ខណ្ឌចំការមន, រាជធានីភ្នំពេញ, 120101, ព្រះរាជាណាចក្រ​កម្ពុជា",retry_simple_query
Agile Sky Residence,Boeung Keng Kang,11.5499421,104.9208927,"Agile Sky Residence, ផ្លូវ ៩៥, សង្កាត់បឹងកេងកងទី ២, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ, 120103, ព្រះរាជាណាចក្រ​កម្ពុជា",retry_simple_query
M Residence,Boeung Keng Kang,11.5545951,104.9254388,"M Residence, ផ្លូវ ២៨២, សង្កាត់បឹងកេងកងទី ២, ខណ្ឌបឹងកេងកង, រាជធានីភ្នំពេញ, 120103, ព្រះរាជាណាចក្រ​កម្ពុជា",retry_simple_query
Urban Village Phase 1,Meanchey,11.5219065,104.9286078,"Urban Village Phase 1, មហាវិថី សម្តេច ហ៊ុន សែន, បឹងទំពុន, សង្កាត់ចាក់អង្រែលើ, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ, 120601, ព្រះរាជាណាចក្រ​កម្ពុជា",retry_simple_query
R&F CITY,Meanchey,11.526807,104.9282862,"R&F City, Morodok Techo Flyover, បឹងទំពុន, សង្កាត់ចាក់អង្រែលើ, ខណ្ឌមានជ័យ, រាជធានីភ្នំពេញ, 120601, ព្រះរាជាណាចក្រ​កម្ពុជា",retry_simple_query
