listing_id,source,source_listing_id,source_listing_code,url,title,description,listing_type,property_type,project_name,price_usd,size_m2,price_per_m2,bedrooms,bathrooms,unit_floor,building_total_floors,city,district,commune,address,location_text,latitude,longitude,listing_created_at,listing_updated_at,scraped_at,district_original,district_recovery_source,geocode_level,geocode_query,coordinate_source,coordinate_precision
realestate.com.kh_246560,realestate.com.kh,246560,,https://www.realestate.com.kh/new-developments/time-square-ii/1-bed-1-bath-condo-246560/,RARE 1-Bedroom Condo | Sale | Time Square 2 | TK Area,"Property type Condo Title Hard Title Property ID 246560 Original ID REAKH-5331 Listed 1 year, 9 months ago Updated 5 months ago",sale,Condo,Time Square II,74000.0,35.0,2114.29,1.0,1.0,24.0,,Phnom Penh,Toul Kork,Boeung Kak 1,"Boeung Kak 1, Toul Kork, Phnom Penh","Boeung Kak 1, Toul Kork, Phnom Penh",,,2024-10-28T15:59:53.026661+07:00,,2026-08-05T04:26:18+00:00,Toul Kork,,project,"Time Square II, Toul Kork, Phnom Penh, Cambodia",,
realestate.com.kh_259255,realestate.com.kh,259255,,https://www.realestate.com.kh/new-developments/chip-mong-park-land-tk-condo/2-bed-2-bath-condo-259255/,2-Bedroom Condo for Sale at Chipmong Parkland TK Condo – High Floor | Fully Furnished,Property type Condo Title Strata Title Property ID 259255 Original ID SreyLeak-REAKH Listed 5 months ago Updated 2 months ago,sale,Condo,Chip Mong | Park Land TK Condo,97000.0,53.0,1830.19,2.0,2.0,10.0,,Phnom Penh,Sen Sok,Phnom Penh Thmey,"Phnom Penh Thmey, Sen Sok, Phnom Penh","Phnom Penh Thmey, Sen Sok, Phnom Penh",,,2026-02-18T15:22:57.238626+07:00,,2026-08-05T04:26:18+00:00,Sen Sok,,project,"Chip Mong | Park Land TK Condo, Sen Sok, Phnom Penh, Cambodia",,
realestate.com.kh_248268,realestate.com.kh,248268,,https://www.realestate.com.kh/new-developments/time-square-306/3-bed-3-bath-condo-248268/,Rare 3-Bedroom Condominium for sale Time Square BKK 306 - Cambodias hot new project,"Property type Condo Title Strata Title Property ID 248268 Original ID REAKH-6239 Listed 1 year, 6 months ago Updated a month ago",sale,Condo,Time Square 306,300000.0,135.0,2222.22,3.0,3.0,45.0,,Phnom Penh,Boeung Keng Kang,BKK 1,", BKK 1, Boeng Keng Kang, Phnom Penh",", BKK 1, Boeng Keng Kang, Phnom Penh",,,2025-01-27T17:03:59.484763+07:00,,2026-08-05T04:26:18+00:00,Boeung Keng Kang,,project,"Time Square 306, Boeung Keng Kang, Phnom Penh, Cambodia",,
realestate.com.kh_255697,realestate.com.kh,255697,,https://www.realestate.com.kh/new-developments/one-park/1-bed-1-bath-condo-255697/,1-Bedroom Condo for Resale at One Park Residence,Property type Condo Title Hard Title Property ID 255697 Original ID SG-1103 (VT) Listed 10 months ago Updated 10 months ago,sale,Condo,One Park,175000.0,73.0,2397.26,1.0,1.0,,,Phnom Penh,Daun Penh,Srah Chak,"Srah Chak, Daun Penh, Phnom Penh","Srah Chak, Daun Penh, Phnom Penh",11.5761427,104.9057036,2025-09-29T14:49:58.371647+07:00,,2026-08-05T04:26:18+00:00,Daun Penh,,project,"One Park, Daun Penh, Phnom Penh, Cambodia",first_pass,project_building
realestate.com.kh_247259,realestate.com.kh,247259,,https://www.realestate.com.kh/new-developments/tk-star-international/1-bed-1-bath-condo-247259/,Studio Condo for Sale | Tk Star Project,"Property type Condo Property ID 247259 Original ID REAKH-5725 Listed 1 year, 7 months ago Updated 1 year, 2 months ago",sale,Condo,TK Star International,53000.0,37.0,1432.43,0.0,1.0,6.0,,Phnom Penh,Toul Kork,Boeung Kak 1,", Boeung Kak 1, Toul Kork, Phnom Penh",", Boeung Kak 1, Toul Kork, Phnom Penh",,,2024-12-05T15:43:31.339570+07:00,,2026-08-05T04:26:18+00:00,Toul Kork,,project,"TK Star International, Toul Kork, Phnom Penh, Cambodia",,
realestate.com.kh_240206,realestate.com.kh,240206,,https://www.realestate.com.kh/buy/bkk-1/1-bed-1-bath-condo-240206/,Stunning 1-Bedroom Condo in BKK1 - Your Dream Home!,Property type Condo Title Hard Title Property ID 240206 Original ID REAKH-2467 Listed 2 years ago Updated a month ago,sale,Condo,,213500.0,61.0,3500.0,1.0,1.0,9.0,,Phnom Penh,Boeung Keng Kang,BKK 1,"BKK 1, Boeng Keng Kang, Phnom Penh","BKK 1, Boeng Keng Kang, Phnom Penh",,,2024-02-06T16:46:42.360284+07:00,,2026-08-05T04:26:18+00:00,Boeung Keng Kang,,address,"BKK 1, Boeng Keng Kang, Phnom Penh, Boeung Keng Kang, Phnom Penh, Cambodia",,
realestate.com.kh_236155,realestate.com.kh,236155,,https://www.realestate.com.kh/new-developments/urban-village-phase-2/1-bed-1-bath-condo-236155/,Fully-Furnished One Bedroom Unit at Urban Village | Sky Prime Tower H,Property type Condo Title Hard Title Property ID 236155 Listed 2 years ago Updated a day ago,sale/rent,Condo,Urban Village Phase 2,103000.0,54.0,1907.41,1.0,1.0,30.0,,Phnom Penh,Meanchey,Chak Angrae Leu,"Chak Angrae Leu, Meanchey, Phnom Penh","Chak Angrae Leu, Meanchey, Phnom Penh",,,2023-09-11T11:48:31.587724+07:00,,2026-08-05T04:26:18+00:00,Meanchey,,project,"Urban Village Phase 2, Meanchey, Phnom Penh, Cambodia",,
realestate.com.kh_267352,realestate.com.kh,267352,,https://www.realestate.com.kh/new-developments/time-square-306/1-bed-1-bath-condo-267352/,Time Square 5 (TS 306) | 1-Bedroom Condo for Sale in BKK1,Property type Condo Title Strata Title Property ID 267352 Listed 13 hours ago Updated 13 hours ago,sale,Condo,Time Square 306,70000.0,43.0,1627.91,1.0,1.0,8.0,,Phnom Penh,Boeung Keng Kang,BKK 1,"BKK 1, Boeng Keng Kang, Phnom Penh","BKK 1, Boeng Keng Kang, Phnom Penh",,,2026-08-04T10:43:44.627414+07:00,,2026-08-05T04:26:18+00:00,Boeung Keng Kang,,project,"Time Square 306, Boeung Keng Kang, Phnom Penh, Cambodia",,
realestate.com.kh_267340,realestate.com.kh,267340,,https://www.realestate.com.kh/new-developments/urban-village-phase-2/2-bed-1-bath-condo-267340/,2-Bedroom Condo in Prime Development Area | Urban Village Phase 2 | Fully Furnished,Property type Condo Title Strata Title Property ID 267340 Original ID Sothea-REAKH Listed a day ago Updated a day ago,sale,Condo,Urban Village Phase 2,108000.0,78.0,1384.62,2.0,1.0,24.0,,Phnom Penh,Meanchey,Chak Angrae Leu,"Chak Angrae Leu, Meanchey, Phnom Penh","Chak Angrae Leu, Meanchey, Phnom Penh",,,2026-08-03T16:13:17.765878+07:00,,2026-08-05T04:26:18+00:00,Meanchey,,project,"Urban Village Phase 2, Meanchey, Phnom Penh, Cambodia",,
realestate.com.kh_267336,realestate.com.kh,267336,,https://www.realestate.com.kh/buy/boeung-kak-1/2-bed-1-bath-condo-267336/,Time Square 2 | 2-Bedroom Condo for Sale,Property type Condo Title Strata Title Property ID 267336 Listed a day ago Updated a day ago,sale,Condo,,72750.0,43.0,1691.86,2.0,1.0,9.0,,Phnom Penh,Toul Kork,Boeung Kak 1,", Boeung Kak 1, Toul Kork, Phnom Penh",", Boeung Kak 1, Toul Kork, Phnom Penh",,,2026-08-03T16:03:26.715035+07:00,,2026-08-05T04:26:18+00:00,Toul Kork,,address,", Boeung Kak 1, Toul Kork, Phnom Penh, Toul Kork, Phnom Penh, Cambodia",,
