listing_id,url,title,price_usd,size_m2,bedrooms,bedrooms_source,bedrooms_confidence,bedrooms_text_raw,bedrooms_conflict,bathrooms,bathrooms_source,bathrooms_confidence,bathrooms_text_raw,bathrooms_conflict,unit_floor,unit_floor_source,unit_floor_confidence,unit_floor_text_raw,unit_floor_conflict,building_total_floors,building_total_floors_source,building_total_floors_confidence,building_total_floors_text_raw,building_total_floors_conflict,description_source,description
246560,https://www.realestate.com.kh/new-developments/time-square-ii/1-bed-1-bath-condo-246560/,RARE 1-Bedroom Condo | Sale | Time Square 2 | TK Area,74000,35.0,1,structured_specification,,,,1,structured_specification,,,,24,structured_floor_level,,,,,,,,,overview_section,"About this property RARE 1-Bedroom Condo | Sale | Time Square 2 | TK Area This fully furnished 1-bedroom condo is ideal for living, working, or investment . The unit is located on the 24th floor , offering a comfortable living space of 35sqm . It includes one bedroom, one bathroom, a living room, and a kitchen, designed for a modern and convenient lifestyle. Time Square 2 provides a good environment with excellent amenities like a gym and swimming pool . These make it perfect for relaxing after work or staying active. Located in the popular Toul Kork district, this condo is close to many conveniences, including famous restaurants , malls like TK Avenue , branded coffee shops like Starbucks and Brown Coffee , retail stores , international schools like Paragon International University and Western International School, and more. The area is a hub for both commercial and residential life, making it a smart choice for your next home or office. Key Features: • Fully furnished 1-bedroom condo for sale • 35sqm Unit size • Located on the 24th floor • 1 Bedroom I 1 Bathroom • 1 Living room I 1 Kitchen • Gym and swimming pool • Close to malls, schools, and restaurants Contact us for more detailed and schedule your viewing today before it SOLD OUT! Read more"
259257,https://www.realestate.com.kh/buy/phsar-chas/2-bed-2-bath-apartment-259257/,💁‍♂️ Amazing Design 2 Bedrooms Renovated House for Sale Near Riverside,155000,110.0,2,structured_specification,,,,2,structured_specification,,,,3,structured_floor_level,,,,,,,,,overview_section,"About this property 💁‍♂️ Amazing Design 2 Bedrooms Renovated House for Sale Near Riverside Property ID : TA-324 💲 Price : $155,000 📍 Location : Daun Penh, 5 Minute to Riverside area ☑️ Size : 110sqm ☑️ Type : 2 Bedrooms | 2 Bathrooms ☑️ Floor : 3rd ------------------------------------------------------------ ☑️ Fully Furnished ☑️ Private Terrace ☑️ Best Location ☑️ Best Design with Modern Furniture ☑️ Duplex Style Read more"
259255,https://www.realestate.com.kh/new-developments/chip-mong-park-land-tk-condo/2-bed-2-bath-condo-259255/,2-Bedroom Condo for Sale at Chipmong Parkland TK Condo – High Floor | Fully Furnished,97000,53.0,2,structured_specification,,,,2,structured_specification,,,,10,structured_floor_level,,,,,,,,,overview_section,"About this property 2-Bedroom Condo for Sale at Chipmong Parkland TK Condo – High Floor | Fully Furnished Discover comfortable and stylish city living with this 2-bedroom condo located on the 10th floor, offering an open view facing Camko City. With a well-planned 52.6 sqm net layout, this unit is ideal for both homebuyers and investors looking for a move-in-ready property. - Price: USD 97,000 (Great Value) - Size: 52.6 sqm (Net Area) - 2 Bedroom - 2 Bathroom - Floor: 10th Floor – Facing Camko City - Fully furnished (except PC, desk, chair) - Bright & airy with city view - Move-in ready - Free management fee until 2027 - Free internet (Today ISP) until August - Electricity: $0.25/kWh - Water: $0.75/m³` - Covered parking: Car $30/month, Motorbike $10/month Facilities - Swimming pool & fully equipped gym - Landscaped garden & outdoor relaxation areas - Children’s playground - 24/7 Security & CCTV Nearby - Shops, cafés & restaurants at Camko City - Easy access to main roads & city center - Family-friendly and high rental demand Read more"
248268,https://www.realestate.com.kh/new-developments/time-square-306/3-bed-3-bath-condo-248268/,Rare 3-Bedroom Condominium for sale Time Square BKK 306 - Cambodias hot new project,300000,135.0,3,structured_specification,,,,3,structured_specification,,,,45,structured_floor_level,,,,,,,,,overview_section,"About this property Rare 3-Bedroom Condominium for sale Time Square BKK 306 - Cambodias hot new project This elegant 3-bedroom condominium in Time Square 306 presents a unique opportunity for both living and investment in the prestigious BKK1 district of Phnom Penh. Perched high on the 45th floor, this spacious unit features three bedrooms, three bathrooms, and a comfortable living area designed for modern city living. The unique high ceilings create a sense of grandeur compared to other units in the building, enhancing the feeling of space and natural light. With only four units on this floor, residents enjoy added exclusivity and privacy while still being part of a vibrant community. From this elevated position, panoramic views of Phnom Penh and the river complete a truly remarkable living experience. Situated in the heart of Phnom Penh’s BKK1 district, Time Square 306 is surrounded by restaurants, cafés, shopping centers, and business hubs, making it a convenient and desirable place to live. With its high-quality construction, limited units, and competitive pricing, this property stands out as an excellent investment opportunity or a stylish home in Cambodia’s capital. Premium Facilities & Amenities ✔ Lobby café – A welcoming space to relax or meet guests ✔ Modern gym – Stay active with state-of-the-art fitness equipment ✔ Children’s playground & game rooms – Perfect for families ✔ Infinity pool – Unwind while enjoying the stunning skyline ✔ Terrace & garden – A serene space for events or quiet moments Key Highlights ✔ Rare 3-Bedroom unit on the 45th floor ✔ Prestigious BKK1 location ✔ Fully furnished ✔ Developed by Megakim World Corp. Read more"
259061,https://www.realestate.com.kh/new-developments/time-square-11-bkk3/,Time Square 11 BKK3,64000,38.0,1,structured_specification,,,description=2 from '2 Bedrooms',,,,,,7,description,medium,7F,,39,structured_specification,,,,overview_section,"About this property Time Square 11 BKK3 | Time Castle 11 Following a flawless track record of delivered projects, Megakim World Corp. officially launched Time Square 11 (also known as Time Castle XI) on March 4, 2026. This contemporary 39-storey tower is strategically located in the rapidly growing BKK3 district. Positioned right next to the premium BKK1 zone and just minutes from the Russian Market, it offers comparable central convenience at a highly affordable price point—providing double the value for your investment. Project Overview * Developer: Megakim World Corp. Ltd (100% completion rate on all previous projects) * Location: BKK3, Phnom Penh (Between BKK1 and the Russian Market area) * Scale: 39 storeys | Residential ""Classic Floors"" from 7F to 39F * Ownership: Strata Title (Permanent Freehold for local and international buyers) * Starting Price: From an incredible $49,168 (Average $1,756 / m² vs BKK1 prices) * Construction Timeline: Starts September 1, 2026 | Estimated Completion: June 2029 * Buyer Incentives & Payment Terms: 10% Discount on launch | 20% down payment | Easy 1% monthly installments for 35 months. Luxury Brand-Inspired Collections The residential units offer net floor areas ranging from 28 m² to 56 m² (gross sizes from 35 m² to 75 m²), styled after global luxury brands: * Hermes Units (2 Bedrooms): Flagship layout featuring 75 sqm gross (56 m² net) of spacious living area. * Chanel Units (1 Bedroom): Premium 1-bedroom layout offering 50 sqm gross (38 m² net). * Prada Units (1 Bedroom): Stylish 1-bedroom layout offering 45 sqm gross (34 m² net). * Gucci Units (1 Bedroom): Efficiently designed 1-bedroom option at 38 sqm gross (29 m² net). * Dior Units (1 Bedroom): Cozy, modern 1-bedroom starter unit at 35 sqm gross (28 m² net). Premium Architecture & Lifestyle Amenities The building features a sophisticated design with an interconnected sky bridge that leads to an elite collection of rooftop facilities: * Rooftop (RF) Facility Hub: 39th-floor panoramic Sky Pool, state-of-the-art Sky Gym, Sky Lounge, Pool Lounge, Sky Yard, Kids' Room, and an Island Deck. * 2F – 6F Parking: 5 dedicated levels of secure vehicle parking. * Ground Floor (GF): Elegant designer entrance lobby and 24/7 reception desk. Why Invest in Time Square 11? * Strategic Micro-Location: Situated just three streets away from the highly successful Time Square 8 project. As BKK1 land becomes limited and expensive, BKK3 represents the city's highest potential area for capital growth and rental demand from corporate expatriates. * Massive Market Momentum: With 86% of the inventory already gone, the market has validated this project as the top value-driven choice in the city center, only about 20 Units are available. Units are selling out fast! Contact our team today to secure one of the remaining properties before the special discounts and options are gone completely! Read more"
255697,https://www.realestate.com.kh/new-developments/one-park/1-bed-1-bath-condo-255697/,1-Bedroom Condo for Resale at One Park Residence,175000,73.0,1,structured_specification,,,,1,structured_specification,,,,,,,,,,,,,,overview_section,"About this property 1-Bedroom Condo for Resale at One Park Residence This premium 1-bedroom condo at One Park Residence is now available for resale in the heart of Phnom Penh City Centre, making it one of the most desirable investment opportunities on the market today. With a generous 72.76 sqm gross area, the unit features a bright open-plan living and dining area, a modern L-shape kitchen, and a private balcony offering refreshing natural light and city views. More than just a home, this property is a secure long-term investment. One Park is designed as a green oasis in the city, providing residents with a peaceful environment alongside resort-style facilities. Owners and tenants alike can enjoy a large swimming pool, a professional fitness center, and a clubhouse restaurant. The integrated shopping district within the complex ensures convenience, while nearby malls, hospitals, banks, schools, and family parks add strong rental appeal. Whether you are seeking steady rental income or future capital growth, this condo offers both lifestyle comfort and profit potential. Contact us today to secure this rare investment. Key Features: • Gross Area: 72.76 sqm • 1 Bedroom, 1 Bathroom • Open Living & Dining Space • Modern L-Shape Kitchen • Private Balcony with City View • Resort-Style Pool, Gym & Clubhouse • Convenient Green Community • Prime Central Location near Malls & Landmarks Read more"
255491,https://www.realestate.com.kh/new-developments/gato-tower/,G.A.T.O Tower,3165,31.0,1,structured_specification,,,,,,,,,67,description,medium,67th Floor,,67,structured_specification,,,,overview_section,"About this property G.A.T.O Tower Phnom Penh’s skyline is undergoing a major transformation with G.A.T.O Tower, a 67-story mixed-use vertical city rising 296.5 meters in the heart of the prestigious BKK1 district. Positioned on Street 334 at the corner of Norodom Boulevard, this landmark project is developed by MIRAKU Capital and Development Co., Ltd. through a Japanese-Cambodian partnership, with architectural designs by the world-renowned Japanese architect Shin Takamatsu. Project Overview * Developer: MIRAKU Capital and Development Co., Ltd. * Management: Miraku Capital with WH Living and Properties Co., Ltd. * Location: Street 334, Corner of Norodom Boulevard, BKK1, Phnom Penh * Scale: 67 storeys | 296.5m height | 1,760 sqm construction footprint * Inventory: 710 total units (472 luxury residences and 238 high-end hotel rooms) * Ownership: Strata Title (Permanent Freehold for local and international buyers) * Pricing: Starting from $98,115 with an average price of $3,165 per sqm * Timeline: Construction started May 3, 2026, with an estimated handover in Q4 2030 * Payment Plan: $5,000 booking fee, 20% down payment, 60% flexible installments, and 20% due upon handover Building Zoning & Layouts All residential layouts feature a comfortable 3-meter ceiling height with floor-by-floor allocation designed for optimal privacy: * B1 to B3 and 1F to 7F: 10 full floors of dedicated smart parking spaces * 9F to 25F: 5-star luxury hotel rooms and premium guest facilities * 26F and 28F: Lifestyle podiums containing resident lounges, landscaping, and on-site restaurants * 28F to 60F: Luxury condominiums including Studios (31 sqm net), 1-Beds (45-47 sqm net), 2-Beds (79-103 sqm net), and 3-Beds (111-136 sqm net) * 61F to 62F: Executive floors restricted to 4 premier units per floor * 63F to 66F: Ultra-luxury Duplex Penthouses stretching up to 443 sqm net World-Class Amenities * 67th Floor (The Sky Crown): Infinity pool, elite skybar, Live House entertainment venue, and a tropical sky garden with 360-degree panoramic city views * 48th Floor (Wellness & Business Hub): Fully equipped professional fitness gym, traditional Japanese Onsen, steam and sauna rooms, co-working office spaces, meeting rooms, and a kids' playground Why Invest in G.A.T.O Tower? The development represents a premier trophy asset given its high-profile location on Norodom Boulevard, within walking distance of corporate offices, international schools, and major embassies. Backed by Japanese architectural precision and passive asset management across an operating portfolio of over 10 active properties, the tower guarantees premium asset protection and robust corporate rental demand. Early-bird pre-sales are officially open. Read more"
252266,https://www.realestate.com.kh/new-developments/kingston-royale/,Kingston Royale,52500,43.0,1,structured_specification,,,,,,,,,33,description,medium,33rd Floor,,36,structured_specification,,,,overview_section,"About this property Kingston Royale Condominium Rising 36 storeys in the southern growth corridor of Boeung Tompun, Kingston Royale Condominium blends modern architecture with practical affordability. Developed by an experienced local developer, this mid-density tower features 310 units, provides an accessible entry point to the property market, and is currently under active construction. Project Overview * Developer: KR Kingston Royale Co. Ltd (Cambodian Family-run developer) * Location: Street 69BT, Boeung Tompun, Mean Chey, Phnom Penh (Near Russian Market and Chip Mong 271 Mega Mall) * Scale: 36 storeys | 310 fully furnished units | Land size: 800 sqm * Ownership: Strata Title (Permanent Freehold for local and foreign buyers) Fully Furnished Layouts (2.8m Ceiling Height) * 1-Bedroom Units: Sizes from 33 to 43 sqm net (42 to 55 sqm gross) * 2-Bedroom Units: Sizes from 50 to 67 sqm net (65 to 85 sqm gross) Lifestyle Amenities & Building Infrastructure * Rooftop & 33rd Floor: Infinity swimming pool, sky garden, state-of-the-art gym, traditional steam room, sauna, jacuzzi, and a yoga studio * Convenience & Comfort: Ground-floor lobby, integrated mini-mart, 3 high-speed lifts, and a pet-friendly environment * Parking Allocation: 7 dedicated floors for secure car parking and 2 floors for motorbikes Fees & Utilities * Property Management Fee: $0.90 per sqm / month * Parking Rates: $40 / month per car | 2 motorbikes parked free * Utility Rates: Electricity: $0.25 / kWh | Water: $0.75 / m³ Why Kingston Royale is a great Investment? Kingston Royale offers a low-risk, high-value opportunity in an emerging expatriate rental zone. Its affordable sub-$60K entry point, paired with a flexible 1% monthly payment structure, ensures a secure asset primed for high yield and steady long-term capital growth. Contact our property consultants today to secure introductory early-bird pricing! Read more"
251410,https://www.realestate.com.kh/new-developments/time-square-9-bkk1/,Time Square 9 BKK1,1700,60.0,1,structured_specification,,,,,,,,,,,,,,39,structured_specification,,,,overview_section,"About this property Time Square Gatsby 9 – Luxury Condos in the Heart of BKK1 Time Square 9 - The Gatsby Residence is Megakim World Corp.’s newest landmark launch in Phnom Penh, created for buyers who want a premium BKK1 address with timeless style and modern comfort. Time Square 9 Gatsby. Standing 39 storeys tall on Street 278, this eye-catching project features a timeless 1920s Art Deco design. Positioned as the most competitively priced luxury project in the exclusive BKK1 district, it offers a sophisticated lifestyle paired with high rental returns. Project Overview * Developer: Megakim World Corp. Ltd * Location: St. 278, BKK1, Phnom Penh (Steps from embassies, dining hubs, and the Independence Monument) * Scale & Size: 39 storeys | 600 total units | 1,765 sqm land plot * Ownership: Strata Title (Permanent Freehold for local and international buyers) * Construction Timeline: Starts July 2026 | Estimated Handover: Q4 2029 / Early 2030 * Payment Terms: Flexible 40-to-45 month interest-free installment plans with a 20% down payment. Extended 10-year loan options available. Unit Collections & Features * Layouts & Sizes: 1-Bedroom to 4-Bedroom premium units ranging from 40 m² to 130 m² net (60 m² to 190 m² gross). * Inclusions: Every unit comes complete with fitted Air Conditioning. * Views: Upper floors enjoy unobstructed, panoramic city and river views. High-End Lifestyle Amenities * Rooftop Sky Deck: Infinity Pool, Kids' Pool, Sky Patio, and a designer Sky Bar with 360° views. * Wellness & Social Hub: Fully equipped Sky Gym, Yoga Studio, Meeting Rooms, On-site Restaurant, and Landscaped Gardens. * Entertainment Zone: Private Cinema, Game Zone, Poker Room, Cigar Lounge, and a Resident Lounge. * Parking & Access: Multi-level secure vehicle parking. Fees & Utilities * Management Fee: $1.00 per sqm / month * Car Parking Rate: $50 / month * Utility Rates: Electricity: $0.30 / kWh | Water: $0.25 / m³ * Safety Infrastructure: 24/7 reception and security, card-access lifts, CCTV, and backup generators. Why Invest in Time Square 9? * Unbeatable Pricing Edge: BKK1 land prices range from $4,400/sqm to $8,300/sqm, making the project's $1,700/sqm entry price an incredible value for the city's top neighborhood. * Strong Projected Returns: High rental demand from expatriates and corporate professionals in BKK1 drives a projected 6.5% to 8.5% net annual rental yield. Booking is now open and already 65% sold out! Contact us today to secure the best early-bird deals and premium unit locations! Read more"
226757,https://www.realestate.com.kh/new-developments/j-tower-3-condominium/,J Tower 3 Condominium,345000,166.0,3,structured_specification,,,,,,,,,78,description,medium,78th Floor,,77,structured_specification,,,,overview_section,"About this property J Tower 3 Condominium J-TOWER 3: Cambodia's Tallest Luxury Skyscraper Rising 333 meters with 77 floors, J-TOWER 3 in South BKK1, Tonle Bassac is Cambodia’s tallest condominium. Engineered by the acclaimed Japanese developer Tanichu Assetment Co., Ltd. (creators of J-Tower 1 & 2), this project offers a high-ceiling sanctuary of absolute privacy and world-class luxury for the elite. Project Overview * Developer: Tanichu Assetment Co., Ltd (Renowned for premium Japanese standards) * Location: South BKK1, Tonle Bassac, Phnom Penh (3 minutes from AEON Mall 1, Independence Monument, and Riverside) * Scale: 333m Height | 77 Floors above ground + 2 Underground Floors * Exclusive Units: 360 premium 3-Bedroom layouts only (166 m² and 178 m²) * Ceiling Heights: Grand 3.5m to 5.0m layouts * Ownership: Strata Title (Permanent Freehold for local and foreign buyers) * Completion Timeline: Scheduled for Q4 2028 Extraordinary Building Amenities by Floor * 78th Floor: Spectacular 360° Observation Deck * 77th Floor: Highest Luxury Lounge, Sky Bar, & Sky Pool * 50th Floor: Elite Cafe, Lounge, Wine Cooler, & Business Room * 49th Floor: Indoor Pool, Kids Pool, Sauna, Spa, & Japanese Public Bath * 29th Floor: State-of-the-art Fitness Gym & Swimming Pool * 28th & 26th Floors: Peaceful Outdoor & Indoor Green Parks + Laundry Service * 11th Floor: Kids' Play Space, Bowling Alley, Billiards, Table Tennis, & Karaoke * Building Conveniences: 8 high-speed elevators, Garbage Station on every single floor, Nurse Station, and Concierge Services. Fees & Operations * Parking Capacity: 252 designated rental parking lots * Electricity Rate: $0.25 / kWh * Management & Sinking Fund: Professionally handled by the developer's premium internal Japanese maintenance team. Why Invest in J-TOWER 3? * Elite Scarcity: Capped strictly at 360 large-format, high-ceiling 3-bedroom units to target high-net-worth residents and eliminate lower-tier competition. * Trophy Value: Capitalizing on the massive success of J-Tower 2, this record-breaking height and premium location ensure unmatched capital growth and high rental yields. Contact us today to schedule an exclusive presentation with one of our premier agents! Read more"
