listing_id,url,title,description,price_usd,size_m2,bedrooms,bedrooms_source,bedrooms_title_value,bedrooms_description_value,bedrooms_detail_value,bedrooms_conflict,bathrooms,bathrooms_source,bathrooms_title_value,bathrooms_description_value,bathrooms_detail_value,bathrooms_conflict,unit_floor,unit_floor_source,unit_floor_title_value,unit_floor_description_value,unit_floor_detail_value,unit_floor_conflict,building_total_floors,building_total_floors_source,building_total_floors_conflict,display_as_project,detail_json_exact_match
255491,https://www.realestate.com.kh/new-developments/gato-tower/,G.A.T.O Tower,"Total units 472 Unit types Condo, Studio Beds in a unit 1 to 6 Floor areas 31 m² to 420 m² Floors 67 Title Strata Title Listed 10 months ago Updated 6 days ago Property ID 255491 Original ID G.A.T.O Tower",3165,31.0,1,structured_specification,,0,,description=0 from 'Studio',,,,,,,,,,,,,67,structured_specification,,True,True
247259,https://www.realestate.com.kh/new-developments/tk-star-international/1-bed-1-bath-condo-247259/,Studio Condo for Sale | Tk Star Project,"Property type Condo Property ID 247259 Original ID REAKH-5725 Listed 1 year, 7 months ago Updated 1 year, 2 months ago",53000,37.0,1,structured_specification,0,,,title=0 from 'Studio',1,structured_specification,,,,,6,structured_floor_level,,,,,,,,False,True
151181,https://www.realestate.com.kh/new-developments/rf-city-miro/,R&F CITY MIRO,"Total units 612 Unit types Condo, Studio Beds in a unit 1 to 1 Decoration type Modern Condo Floor areas 38 m² to 50 m² Floors 32 Title Strata Title Greening rate 30% Listed 5 years ago Updated 21 days ago Property ID 151181 Original ID R&F CITY MIRO",86013,38.0,1,structured_specification,,0,,description=0 from 'Studio',,,,,,,,,,,,,32,structured_specification,,True,True
267322,https://www.realestate.com.kh/new-developments/urban-village-phase-2/1-bed-1-bath-condo-267322/,"Urgent High-Floor Studio Sale at Urban Village Phase 2 | Fixed Price USD 35,000",Property type Condo Title Hard Title Property ID 267322 Listed a day ago Updated a day ago,35000,29.0,1,structured_specification,0,,,title=0 from 'Studio',1,structured_specification,,,,,46,structured_floor_level,,,,,,,,False,True
267234,https://www.realestate.com.kh/new-developments/urban-village-phase-2/1-bed-1-bath-condo-267234/,✨ Fully Furnished Studio for Sale | 47th Floor | Urban Village Phase 2,Property type Condo Title Strata Title Property ID 267234 Original ID VateyREAKH Listed 5 days ago Updated 5 days ago,89000,38.0,1,structured_specification,0,,,title=0 from 'Studio',1,structured_specification,,,,,47,structured_floor_level,47,,,,,,,False,True
267229,https://www.realestate.com.kh/new-developments/anata-residence/1-bed-1-bath-studio-267229/,✨ANATA RESIDENCE | A Studio Condo With Fully Furnished | Stueng Mean Chey,Property type Studio Title Hard Title Property ID 267229 Original ID Nick_REAKH Listed 5 days ago Updated 5 days ago,34900,30.0,1,structured_specification,0,0,,title=0 from 'Studio' || title=0 from 'Studio'; description=0 from 'Studio',1,structured_specification,,,,,6,structured_floor_level,,,,,,,,False,True
267228,https://www.realestate.com.kh/new-developments/anata-residence/1-bed-1-bath-studio-267228/,✨ANATA RESIDENCE | 32SQM STUDIO CONDO FOR SALE/RENT | Phnom Penh,Property type Studio Title Strata Title Property ID 267228 Original ID Nick_REAKH Listed 5 days ago Updated 5 days ago,35900,32.0,1,structured_specification,0,0,,title=0 from 'STUDIO' || title=0 from 'STUDIO'; description=0 from 'Studio',1,structured_specification,,,,,6,structured_floor_level,,,,,,,,False,True
267184,https://www.realestate.com.kh/new-developments/yuetai-phnom-penh-harbour/1-bed-1-bath-condo-267184/,Studio Condo for Sale – Yuetai Phnom Penh Harbour,Property type Condo Title Long-Term Leasehold Property ID 267184 Original ID SreyLeak-REAKH Listed 5 days ago Updated 5 days ago,48000,32.0,1,structured_specification,0,,,title=0 from 'Studio',1,structured_specification,,,,,8,structured_floor_level,,,,,,,,False,True
267127,https://www.realestate.com.kh/new-developments/ps-crystal-condominium/1-bed-1-bath-condo-267127/,Cozy Studio Condo for Sale/ Rent Near BROWN Roastery 271,Property type Condo Title Strata Title Property ID 267127 Listed 7 days ago Updated 5 days ago,49000,49.0,1,structured_specification,0,,,title=0 from 'Studio',1,structured_specification,,,,,11,structured_floor_level,,,,,,,,False,True
267036,https://www.realestate.com.kh/new-developments/morgan-enmaison-condo-type/1-bed-1-bath-condo-267036/,Studio Unit for Sale at Morgan EnMaison,Property type Condo Title Hard Title Property ID 267036 Original ID SreyLeak-REAKH Listed 8 days ago Updated 7 days ago,67000,36.0,1,structured_specification,0,,,title=0 from 'Studio',1,structured_specification,,,,,11,structured_floor_level,,,,,,,,False,True
